Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,380,5430,1081,5.0,17,11,318,321,499,3264,21,6,6.0,158,533,2166,14,4.1,122,102,823,38,187,39.6,8.6,Own 31.6,2:46,5.94,28.4,1.91,228,90,39.5%,18,7,38.9%,56,27,48.2%
2023,304,5173,1029,5.0,16,7,287,323,506,3163,13,9,5.8,153,487,2010,16,4.1,115,86,753,19,194,29.9,7.7,Own 28.4,2:36,5.46,26.6,1.49,232,85,36.6%,19,9,47.4%,42,20,47.6%
2022,308,5484,1109,4.9,19,5,345,364,571,3411,12,14,5.6,189,500,2073,16,4.1,129,94,711,27,177,35.0,9.6,Own 27.3,3:02,6.51,30.9,1.68,236,106,44.9%,15,11,73.3%,52,27,51.9%
2021,343,5361,1113,4.8,20,9,323,425,664,3778,23,11,5.4,204,411,1583,10,3.9,85,106,831,34,199,34.7,9.5,Own 29.2,2:34,5.79,26.8,1.70,239,93,38.9%,21,10,47.6%,50,27,54.0%
2020,416,5354,1043,5.1,18,7,322,428,656,4003,35,11,6.0,206,373,1351,12,3.6,81,81,691,35,188,37.2,8.5,Own 30.8,2:37,5.68,28.4,2.12,230,97,42.2%,19,10,52.6%,52,33,63.5%
2019,289,4428,937,4.7,30,11,265,315,510,2981,18,19,5.5,147,395,1447,7,3.7,75,111,893,43,187,28.9,16.0,Own 29.5,2:28,5.18,23.5,1.40,195,67,34.4%,15,2,13.3%,40,14,35.0%
2018,428,6453,1058,6.1,26,9,378,459,689,5008,35,17,7.0,251,345,1445,16,4.2,88,111,1026,39,182,36.8,14.3,Own 26.0,2:44,5.93,35.5,2.23,198,88,44.4%,14,9,64.3%,49,36,73.5%
2017,406,6047,1051,5.8,20,5,348,384,590,4380,29,15,7.1,217,437,1667,12,3.8,96,101,897,35,179,43.0,10.6,Own 29.3,2:52,6.09,33.7,2.23,209,92,44.0,8,3,37.5,63,32,50.8
2016,399,5962,1026,5.8,18,3,336,381,596,4202,33,15,6.8,210,409,1760,13,4.3,97,112,1068,29,182,38.5,9.9,Own 27.3,2:42,5.81,32.7,2.16,202,83,41.1%,16,9,56.3%,49,29,59.2%
2015,423,6327,1011,6.3,28,7,331,391,590,4603,26,21,7.4,207,388,1724,16,4.4,91,94,868,33,190,40.5,13.7,Own 28.2,2:30,5.54,33.3,2.10,193,75,38.9%,12,4,33.3%,56,34,60.7%
2014,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,174,41.4,11.5,Own 25.7,2:59,6.32,37.5,2.23,208,93,44.7%,10,5,50.0%,55,29,52.7%
2013,379,5400,1023,5.3,24,10,312,377,586,4017,28,14,6.4,207,394,1383,9,3.5,81,80,677,24,189,35.4,12.7,Own 29.8,2:37,5.58,28.6,1.85,216,82,38.0%,15,9,60.0%,53,28,52.8%
2012,336,5324,1023,5.2,30,16,307,354,574,3787,27,14,6.2,202,412,1537,8,3.7,80,92,938,25,186,33.9,15.6,Own 26.8,2:46,5.67,28.6,1.77,224,94,42.0%,13,6,46.2%,49,27,55.1%
2011,325,5957,1015,5.9,28,13,341,341,539,4054,21,15,7.0,221,434,1903,13,4.4,96,101,854,24,168,33.9,16.7,Own 26.8,3:06,6.23,35.4,1.83,196,90,45.9%,8,3,37.5%,53,27,50.9%
2010,375,5525,993,5.6,18,9,295,298,479,3601,22,9,6.9,175,471,1924,15,4.1,106,100,903,14,179,36.9,9.5,Own 31.5,2:54,5.76,30.8,1.93,218,94,43.1%,5,2,40.0%,50,24,48.0%
2009,368,5941,1014,5.9,25,11,331,351,536,4148,28,14,7.1,210,428,1793,10,4.2,96,85,769,25,183,35.5,12.6,Own 29.5,2:52,5.71,32.4,1.90,203,80,39.4%,12,8,66.7%,56,27,48.2%
2008,347,4991,1015,4.9,25,10,290,303,506,3301,19,15,5.9,179,460,1690,16,3.7,93,95,812,18,190,32.6,12.6,Own 31.1,2:40,5.51,26.1,1.72,224,92,41.1%,12,3,25.0%,49,27,55.1%
2007,393,5239,1000,5.2,22,8,298,282,442,3071,34,14,6.3,179,511,2168,9,4.2,108,80,651,11,175,37.7,11.4,Own 32.4,3:04,5.86,29.8,2.11,220,103,46.8%,13,7,53.8%,55,32,58.2%
2006,353,5725,1041,5.5,37,14,327,312,523,3733,23,23,6.5,201,469,1992,16,4.2,100,69,611,26,188,31.4,18.1,Own 28.0,2:41,5.68,30.3,1.77,217,93,42.9%,21,10,47.6%,56,28,50.0%
2005,389,5149,960,5.4,23,9,297,228,379,2926,21,14,7.1,144,549,2223,21,4.0,120,99,876,33,183,36.1,10.9,Own 33.2,2:46,5.41,28.1,2.00,192,68,35.4%,12,5,41.7%,56,34,60.7%
2004,372,5184,1012,5.1,21,8,309,228,358,2720,20,13,6.9,147,618,2464,16,4.0,134,99,835,28,179,35.8,11.7,Own 33.4,3:02,5.85,28.9,1.88,219,94,42.9%,12,7,58.3%,61,28,45.9%
2003,300,4792,1020,4.7,28,11,275,306,532,3304,19,17,5.8,174,446,1488,10,3.3,77,111,1005,24,192,27.1,13.5,Own 32.9,2:34,5.48,24.9,1.42,227,82,36.1%,22,11,50.0%,44,20,45.5%
2002,390,5952,1097,5.4,36,14,343,350,551,3832,26,22,6.6,200,512,2120,15,4.1,119,90,712,24,196,35.7,16.8,Own 33.7,2:44,5.80,30.2,1.91,223,94,42.2%,23,14,60.9%,61,28,45.9%
2001,352,5887,1065,5.5,21,9,314,274,454,3113,16,12,6.4,150,580,2774,17,4.8,148,86,737,16,182,34.6,11.5,Own 32.2,3:03,6.09,32.2,1.76,232,106,45.7%,12,6,50.0%,52,20,38.5%
2000,321,4766,1009,4.7,21,11,283,217,439,2518,12,10,5.2,128,527,2248,19,4.3,124,81,667,31,190,29.5,9.5,Own 32.9,2:39,5.47,24.9,1.54,229,86,37.6%,10,5,50.0%,49,23,46.9%
1999,317,4874,1067,4.6,25,7,295,301,535,2883,19,18,5.0,159,495,1991,14,4.0,111,119,945,25,200,29.0,12.0,Own 32.5,2:31,5.48,24.3,1.53,234,90,38.5%,24,7,29.2%,50,27,54.0%
1998,263,4586,1014,4.5,32,12,268,274,489,2552,13,20,4.9,135,490,2034,8,4.2,106,79,691,27,,,,,,,,,,,,,,,,,
1997,372,5542,1058,5.2,33,14,326,253,466,3063,22,19,6.3,157,572,2479,19,4.3,154,95,861,15,,,,,,,,,,,,,,,,,
1996,344,5140,1002,5.1,33,14,296,246,456,2841,15,19,6.0,146,525,2299,18,4.4,138,83,665,12,,,,,,,,,,,,,,,,,
1995,407,5769,1110,5.2,34,13,344,348,592,3917,21,21,6.4,193,494,1852,17,3.7,117,109,839,34,,,,,,,,,,,,,,,,,
1994,316,5144,1048,4.9,17,8,307,266,463,2964,17,9,5.9,148,546,2180,15,4.0,138,119,974,21,,,,,,,,,,,,,,,,,
1993,308,5235,1079,4.9,27,15,307,299,540,3232,16,12,5.5,180,491,2003,13,4.1,116,100,861,11,,,,,,,,,,,,,,,,,
1992,299,4906,989,5.0,32,18,284,249,431,2750,15,14,5.8,143,518,2156,13,4.2,119,106,941,22,,,,,,,,,,,,,,,,,
1991,292,4581,915,5.0,30,14,254,259,476,2954,20,16,5.7,158,394,1627,8,4.1,82,116,933,14,,,,,,,,,,,,,,,,,
1990,292,4525,897,5.0,32,17,263,237,408,2645,20,15,6.0,150,456,1880,11,4.1,93,110,928,20,,,,,,,,,,,,,,,,,
1989,265,3996,955,4.2,31,18,244,210,404,2178,10,13,4.8,117,500,1818,17,3.6,106,116,986,21,,,,,,,,,,,,,,,,,
1988,336,5204,1030,5.1,39,19,292,226,489,2976,15,20,5.6,150,499,2228,17,4.5,120,99,803,22,,,,,,,,,,,,,,,,,
1987,285,4410,973,4.5,33,8,263,198,429,2266,13,25,5.0,126,517,2144,11,4.1,114,105,801,23,,,,,,,,,,,,,,,,,
1986,307,4811,1075,4.5,36,16,292,238,491,2588,16,20,5.1,140,564,2223,18,3.9,125,104,853,27,,,,,,,,,,,,,,,,,
1985,379,5350,1086,4.9,36,9,315,254,512,3173,23,27,5.8,165,541,2177,14,4.0,125,85,665,25,,,,,,,,,,,,,,,,,
1984,387,5420,1052,5.2,40,15,302,240,443,3241,25,25,6.8,167,574,2179,13,3.8,117,112,948,18,,,,,,,,,,,,,,,,,
1983,355,5014,1075,4.7,43,20,312,211,409,2404,15,23,5.2,141,614,2610,17,4.3,156,99,836,15,,,,,,,,,,,,,,,,,
1982,204,2970,583,5.1,25,9,171,141,275,1783,17,16,6.1,91,289,1187,7,4.1,69,59,459,11,,,,,,,,,,,,,,,,,
1981,356,5598,1042,5.4,41,22,318,247,461,3226,25,19,6.6,156,554,2372,21,4.3,137,97,840,25,,,,,,,,,,,,,,,,,
1980,352,5554,1033,5.4,42,18,308,250,484,3568,26,24,6.8,177,512,1986,15,3.9,111,111,933,20,,,,,,,,,,,,,,,,,
1979,416,6258,1080,5.8,52,26,337,272,492,3655,26,26,7.0,179,561,2603,25,4.6,141,108,866,17,,,,,,,,,,,,,,,,,
1978,356,4996,1046,4.8,39,17,316,212,380,2699,28,22,6.7,149,641,2297,16,3.6,133,109,948,34,,,,,,,,,,,,,,,,,
1977,283,4645,949,4.9,49,28,266,173,341,2387,17,21,6.5,124,581,2258,20,3.9,122,122,973,20,,,,,,,,,,,,,,,,,
1976,342,4637,957,4.8,31,19,271,143,277,1666,10,12,5.5,94,653,2971,33,4.5,163,111,836,14,,,,,,,,,,,,,,,,,
1975,373,4887,949,5.1,32,20,288,191,337,2254,21,12,6.1,125,581,2633,22,4.5,149,89,756,14,,,,,,,,,,,,,,,,,
1974,305,4375,950,4.6,40,19,251,166,386,1958,12,21,4.8,98,546,2417,19,4.4,136,104,978,17,,,,,,,,,,,,,,,,,
1973,347,4070,894,4.6,40,14,217,140,309,1927,20,26,5.7,89,555,2143,12,3.9,111,84,817,17,,,,,,,,,,,,,,,,,
1972,343,4231,853,5.0,26,14,228,156,324,1711,12,12,4.8,79,497,2520,22,5.1,131,81,728,18,,,,,,,,,,,,,,,,,
1971,246,3882,867,4.5,42,16,226,214,414,2124,15,26,4.7,111,416,1758,10,4.2,98,88,898,17,,,,,,,,,,,,,,,,,
1970,210,3752,844,4.4,48,16,206,150,384,2037,12,32,4.9,97,432,1715,13,4.0,84,82,835,25,,,,,,,,,,,,,,,,,
1969,218,3626,843,4.3,49,20,210,176,391,2084,17,29,4.7,115,400,1542,8,3.9,81,67,659,14,,,,,,,,,,,,,,,,,
1968,244,4200,891,4.7,40,14,245,211,451,2479,22,26,5.0,137,399,1721,7,4.3,91,46,479,17,,,,,,,,,,,,,,,,,
1967,281,3908,903,4.3,45,16,252,214,442,2511,19,29,5.3,145,431,1397,13,3.2,83,68,759,24,,,,,,,,,,,,,,,,,
1966,316,3446,842,4.1,39,17,207,188,401,2354,18,22,5.0,117,375,1092,13,2.9,65,75,768,25,,,,,,,,,,,,,,,,,
1965,202,3354,823,4.1,57,22,194,161,354,1976,10,35,4.8,104,407,1378,10,3.4,71,40,326,19,,,,,,,,,,,,,,,,,
1964,253,3960,890,4.4,41,17,233,141,323,1858,14,24,5.0,105,516,2102,14,4.1,110,59,615,18,,,,,,,,,,,,,,,,,
1963,321,4913,976,5.0,33,13,272,170,368,2777,21,20,7.0,129,578,2136,14,3.7,122,51,495,21,,,,,,,,,,,,,,,,,
1962,312,4402,891,4.9,36,13,261,160,319,2069,14,23,6.5,112,572,2333,17,4.1,133,45,427,16,,,,,,,,,,,,,,,,,
1961,295,4093,877,4.7,56,22,239,176,334,2332,23,34,7.0,123,543,1761,10,3.2,102,52,486,14,,,,,,,,,,,,,,,,,
1960,240,4045,696,5.8,35,14,198,139,285,2422,20,21,8.5,104,411,1623,9,3.9,81,61,606,13,,,,,,,,,,,,,,,,,
1959,257,3595,725,5.0,33,10,207,150,319,2052,21,23,6.4,103,406,1543,10,3.8,82,60,532,22,,,,,,,,,,,,,,,,,
1958,261,4273,730,5.9,42,21,202,156,336,2752,16,21,8.2,107,394,1521,14,3.9,77,78,875,18,,,,,,,,,,,,,,,,,
1957,161,2890,702,4.1,32,18,159,149,312,1716,11,14,5.5,92,390,1174,7,3.0,59,48,405,8,,,,,,,,,,,,,,,,,
1956,217,3016,731,4.1,34,10,184,136,318,1666,14,24,5.2,83,413,1350,14,3.3,83,74,614,18,,,,,,,,,,,,,,,,,
1955,195,3671,810,4.5,47,17,211,189,390,2387,12,30,6.1,119,420,1284,13,3.1,74,67,604,18,,,,,,,,,,,,,,,,,
1954,219,3455,754,4.6,43,17,205,189,386,2173,15,26,5.6,115,368,1282,10,3.5,71,54,471,19,,,,,,,,,,,,,,,,,
1953,211,3399,848,4.0,35,14,206,189,416,1850,10,21,4.4,97,432,1549,13,3.6,98,54,546,11,,,,,,,,,,,,,,,,,
1952,300,3395,749,4.5,37,14,187,167,365,2191,21,23,6.0,110,384,1204,12,3.1,67,57,520,10,,,,,,,,,,,,,,,,,
1951,183,2952,755,3.9,43,17,172,130,330,1524,10,26,4.6,79,425,1428,9,3.4,76,50,430,17,,,,,,,,,,,,,,,,,
1950,180,3305,732,4.5,58,29,177,100,255,1646,10,29,6.5,68,477,1659,12,3.5,97,57,477,12,,,,,,,,,,,,,,,,,
1949,224,3412,744,4.6,27,9,189,81,209,1203,10,18,5.8,50,535,2209,20,4.1,126,52,460,13,,,,,,,,,,,,,,,,,
1948,200,3463,776,4.5,46,17,210,108,266,1529,8,29,5.7,68,510,1934,17,3.8,122,63,616,20,,,,,,,,,,,,,,,,,
1947,240,3358,705,4.8,35,16,176,85,209,1410,10,19,6.7,57,496,1948,15,3.9,108,60,527,11,,,,,,,,,,,,,,,,,
1946,136,2277,575,4.0,28,15,120,58,161,970,4,13,6.0,35,414,1307,14,3.2,75,69,534,10,,,,,,,,,,,,,,,,,
1945,79,1613,523,3.1,29,8,96,61,165,652,0,21,4.0,30,358,961,9,2.7,56,53,436,10,,,,,,,,,,,,,,,,,
1942,167,2553,649,3.9,21,10,130,51,161,686,2,11,4.3,29,488,1867,15,3.8,86,58,383,15,,,,,,,,,,,,,,,,,
1941,103,1867,549,3.4,49,15,75,42,168,654,5,34,3.9,18,381,1213,9,3.2,49,44,363,8,,,,,,,,,,,,,,,,,
1940,60,1977,592,3.3,27,0,97,58,189,875,4,27,4.6,,403,1102,2,2.7,,0,336,,,,,,,,,,,,,,,,,,
1939,114,2222,649,3.4,34,0,113,70,221,1084,8,34,4.9,,428,1138,7,2.7,,0,279,,,,,,,,,,,,,,,,,,
1938,79,2330,651,3.6,32,0,103,72,194,916,5,32,4.7,,457,1414,5,3.1,,0,225,,,,,,,,,,,,,,,,,,
1937,122,2337,657,3.6,27,0,105,57,164,918,9,27,5.6,,493,1419,5,2.9,,0,358,,,,,,,,,,,,,,,,,,
1936,98,2178,670,3.3,28,0,117,81,198,1078,5,28,5.4,,472,1100,4,2.3,,0,336,,,,,,,,,,,,,,,,,,
1935,100,1504,561,2.7,40,0,64,67,234,996,5,40,4.3,,327,508,4,1.6,,0,201,,,,,,,,,,,,,,,,,,
1934,51,2479,604,4.1,23,0,,58,186,952,4,23,5.1,,418,1527,2,3.7,,0,0,,,,,,,,,,,,,,,,,,
1933,67,1943,534,3.6,40,0,,60,196,1029,3,40,5.3,,338,914,4,2.7,,0,0,,,,,,,,,,,,,,,,,,
