coach,hire_year,last_year,label,confidence,reason,source
Sid Gillman,1973,1974,censor,high,"Sid Gillman retired on top after 1974 (7-7, NFL Coach of the Year); hand-picked successor Bum Phillips",Wikipedia
Paul Brown,1970,1975,censor,high,"Paul Brown retired voluntarily on top after 1975 (11-3); named own successor, stayed on as GM/owner",Wikipedia/Bengals.com
John Ralston,1972,1976,event,high,John Ralston resigned under pressure after 1976 (9-5) following player revolt; stripped of GM title before resigning,Wikipedia
Monte Clark,1976,1976,event,high,Monte Clark fired by 49ers Apr 1977 over personnel-authority dispute with GM Joe Thomas; sat out 1977 before Detroit,Wikipedia
Chuck Knox,1973,1977,event,high,Chuck Knox pre-emptively jumped to Buffalo Jan 1978 to avoid being fired by owner Rosenbloom after Mud Bowl loss,Wikipedia/ESPN
Don Coryell,1973,1977,event,high,Don Coryell forced out after 1977 (7-7) following falling out with owner Bill Bidwill; dismissed Feb 1978,Wikipedia
George Allen,1971,1977,event,high,George Allen fired by Redskins Jan 1978 despite 9-5; contract/budget dispute with Edward Bennett Williams,Washington Post/Wikipedia
Jack Pardee,1975,1977,censor,high,"Jack Pardee voluntarily resigned from Bears after 1977; rejected GM Finks offer to stay, chose Redskins job",Washington Post
Chuck Fairbanks,1973,1978,censor,high,Chuck Fairbanks voluntarily left Patriots after 1978 (11-4) for Univ. of Colorado; Patriots sued to block move,Wikipedia/Boston Globe
John Madden,1970,1978,censor,high,John Madden retired on top after 1978 (9-7) due to ulcer/burnout while successful and wanted,Wikipedia
Larry Wilson,1979,1979,event,low,Larry Wilson INTERIM caretaker: took over Cardinals (2-1) after Bud Wilkinson fired Week 13 1979; returned to front office,Wikipedia
Bum Phillips,1975,1980,event,high,Bum Phillips fired by Oilers owner Bud Adams Dec 31 1980 despite 11-5 (expected extension); Saints job came after,UPI/Wikipedia
Red Miller,1977,1980,event,high,Red Miller fired by new Broncos owner spring 1981 after 8-8 missed playoffs,Wikipedia
Leeman Bennett,1977,1982,event,high,Leeman Bennett fired by Falcons Jan 1983 after strike-shortened 5-4; said he was surprised,UPI/Wikipedia
Mike McCormack,1982,1982,event,low,Mike McCormack INTERIM caretaker: took over Seahawks (4-3) after Patera fired in 1982 strike season; returned to GM role,Wikipedia
Walt Michaels,1977,1982,event,medium,Walt Michaels forced/pressured resignation Feb 1983; ownership gave a package and told him to resign,UPI/Wikipedia
Bart Starr,1975,1983,event,high,Bart Starr fired by Packers Dec 19 1983 day after 8-8 missed playoffs; said he was shocked,UPI/Wikipedia
Ron Meyer,1982,1984,event,high,Ron Meyer fired midway through 1984 by Patriots after firing his DC; replaced by Raymond Berry,Wikipedia
Fred Bruney,1985,1985,event,low,Fred Bruney INTERIM single game: coached final game of 1985 (1-0) after Marion Campbell let go; never permanent hire,Wikipedia
John Mackovic,1983,1986,event,high,"John Mackovic fired by Chiefs days after 1986 despite playoffs, following a player revolt to owner Lamar Hunt",Wikipedia
Bill Walsh,1979,1988,censor,high,Bill Walsh retired Jan 1989 days after winning Super Bowl XXIII due to burnout while wanted; voluntary on top,UPI/ESPN
Marty Schottenheimer,1985,1988,event,high,Marty Schottenheimer forced resignation Browns Dec 1988 after Modell ultimatum to hire an OC/strip role; KC hired after,Wikipedia
Jerry Glanville,1986,1989,event,high,Jerry Glanville fired by Oilers Jan 1990 after season-ending losing skid; Atlanta hired him a week later,Wikipedia
Bill Parcells,1983,1990,censor,high,"Bill Parcells resigned from Giants May 1991 after Super Bowl XXV citing health; voluntary while wanted, took 2 years off",Washington Post
Buddy Ryan,1986,1990,event,high,Buddy Ryan fired by Eagles Jan 1991 after third straight first-round playoff exit,Washington Post
Jerry Burns,1986,1991,censor,medium,"Jerry Burns announced own retirement Dec 1991 at age 64 after 8-8; self-initiated, no pressure, beloved departure",Wikipedia/obits
Dan Reeves,1981,1992,event,high,Dan Reeves fired by Broncos owner Bowlen Dec 1992 amid Elway feud after 8-8,UPI
Joe Gibbs,1981,1992,censor,high,"Joe Gibbs retired March 1993 for health/family; voluntary, owner unaware it was coming, team wanted him",Washington Post
Bruce Coslet,1990,1993,event,high,Bruce Coslet fired by Jets Jan 1994 (never a winning season); GM cited philosophy disagreement,Seattle Times
Jimmy Johnson,1989,1993,event,medium,Jimmy Johnson and Cowboys mutually parted March 1994 after power struggle with Jerry Jones; effectively forced out,ESPN
Art Shell,1989,1994,event,high,Art Shell fired by Raiders owner Al Davis after 1994 (9-7) missed playoffs; Davis later regretted it,ESPN/Wikipedia
Don Shula,1970,1995,event,medium,"Don Shula resigned after 1995 amid heavy fan/media pressure with Jimmy Johnson waiting; team moved on, hired Johnson days later",Baltimore Sun
Ted Marchibroda,1992,1995,event,medium,Ted Marchibroda left Colts Feb 1996 after team rejected his 2-yr extension demand (offered 1) and promoted a replacement; Ravens 6 days later,Baltimore Sun
Bill Parcells,1993,1996,censor,high,Bill Parcells resigned from Patriots after 1996 Super Bowl run in personnel-control dispute to take Jets job; Kraft wanted him,SI/ESPN
Bobby Ross,1992,1996,censor,high,Bobby Ross voluntarily left Chargers after 1996 for Lions HC job with more control/money; Chargers wanted to retain him,Wikipedia/CBS
George Seifert,1989,1996,event,high,"George Seifert forced out after 1996; 49ers offered no extension, gave ultimatum to accept demotion behind named successor Mariucci",Washington Post
Dennis Erickson,1995,1998,event,high,Dennis Erickson fired by Seahawks Dec 1998 after fourth straight non-playoff season (8-8); one of five fired that day,CBS/Wikipedia
Mike Holmgren,1992,1998,censor,high,Mike Holmgren voluntarily resigned from Packers after 1998 to take Seahawks HC+GM job for total control; Packers wanted him,Packers.com/ESPN
Bill Parcells,1997,1999,censor,high,"Bill Parcells retired as Jets HC after 1999 on his own terms, moving to football ops with Belichick set to succeed; not performance-driven",ESPN/CBS
Chan Gailey,1998,1999,event,high,Chan Gailey fired by Cowboys Jan 2000 after two playoff seasons; Jerry Jones cited scheme fit and later called it a regret,CBS/ESPN
Dick Vermeil,1997,1999,censor,high,Dick Vermeil retired on top after winning Super Bowl XXXIV with 1999 Rams (13-3); walked away voluntarily while wanted,Wikipedia/ESPN
Jimmy Johnson,1996,1999,censor,high,"Jimmy Johnson voluntarily retired after 1999 Dolphins season; burnout, time with family, team would have kept him",CBS/ESPN
Pete Carroll,1997,1999,event,high,Pete Carroll fired by Patriots Jan 2000 after 8-8 collapse; Kraft replaced him with Belichick,ESPN/Patriots.com
Ray Rhodes,1999,1999,event,high,Ray Rhodes fired by Packers GM Ron Wolf Jan 2000 after lone 8-8 season missing playoffs,SI/Wikipedia
Al Groh,2000,2000,censor,high,Al Groh voluntarily resigned Jets after 2000 (9-7) to take Virginia (alma mater) college HC job,UPI/ESPN
Bobby Ross,1997,2000,censor,medium,"Bobby Ross voluntarily resigned mid-2000 citing burnout, player effort, and leg blood clots; owner praised decision, team viable",Washington Post
Gary Moeller,2000,2000,event,low,"Gary Moeller INTERIM caretaker: took over Week 11 2000 (4-3) after Ross quit; never permanent hire, not retained by new pres Millen",Wikipedia
Wade Phillips,1998,2000,event,high,Wade Phillips fired by Bills owner Ralph Wilson after 2000 (8-8) for refusing to fire his special teams coach,CBS/ESPN
Jon Gruden,1998,2001,censor,user,User+verified: traded to TB for 2 firsts/2 seconds/$8M and continued as a wanted NFL HC (not a firing),NBC Sports Bay Area
Marty Schottenheimer,2001,2001,event,high,Marty Schottenheimer fired by Dan Snyder after lone 2001 Washington season (8-8) in power struggle; Spurrier hired,ESPN/Washington Post
Tony Dungy,1996,2001,event,high,"Tony Dungy fired by Buccaneers Jan 2002 after repeated playoff failures; Colts hired him after, but fired first",ESPN/Wikipedia
Steve Mariucci,1997,2002,event,high,"Steve Mariucci fired by 49ers Jan 2003 after losing power struggle with GM/owner; Lions hired him after, but fired first",Washington Post
Dick Vermeil,2001,2005,censor,high,"Dick Vermeil voluntarily retired after 2005 (10-6), walked away on top still wanted (one more year chants)",Wikipedia/Arrowhead Pride
Mike Tice,2002,2005,event,high,Mike Tice fired by Vikings Jan 1 2006; owner Zygi Wilf declined to renew right after 9-7 finale,ESPN/NFL.com
Bill Cowher,1992,2006,censor,high,"Bill Cowher voluntarily stepped down/retired Jan 2007 after 15 seasons, still wanted (won SB XL the prior year)",Pro Football HOF
Bill Parcells,2003,2006,censor,high,"Bill Parcells voluntarily retired from coaching Jan 2007 after 4 Dallas seasons; his own choice, Jones wanted him back",ESPN
Marty Schottenheimer,2002,2006,event,high,"Marty Schottenheimer fired by Chargers Feb 2007 despite NFL-best 14-2, over GM A.J. Smith dysfunction",ESPN
Joe Gibbs,2004,2007,censor,high,Joe Gibbs resigned Jan 2008 for family/non-football reasons (grandson's leukemia); voluntary departure,Washington Post
Eric Mangini,2006,2008,event,high,"Eric Mangini fired by Jets Dec 2008 after 1-4 collapse; Browns hired him after, but fired first",NFL.com
Jon Gruden,2002,2008,event,high,Jon Gruden fired by Buccaneers Jan 2009 after winless December and playoff miss,Britannica/Wikipedia
Mike Shanahan,1995,2008,event,high,"Mike Shanahan fired by owner Bowlen Dec 2008 after late collapse (8-8) missed playoffs 3rd straight, ending 14-yr tenure",ESPN/Wikipedia
Tony Dungy,2002,2008,censor,high,Tony Dungy retired voluntarily Jan 2009 on top after 12-4 playoff season to be with family; hand-picked successor Caldwell,ESPN
Tom Cable,2009,2010,event,high,Tom Cable not retained: Al Davis declined his contract option Jan 2011 despite 8-8 (first non-losing season in years),ESPN/Raiders.com
Hue Jackson,2011,2011,event,high,Hue Jackson fired Jan 2012 by new GM Reggie McKenzie after one 8-8 season; personnel-control clash,NFL.com
Lovie Smith,2004,2012,event,high,Lovie Smith fired Dec 2012 after 10-6 missed playoffs (collapsed from 7-1); GM Phil Emery decision,ESPN/NFL.com
Doug Marrone,2013,2014,event,user,User+verified: new owners declined to extend him; he opted out and took an ASSISTANT job (not another HC role),NFL.com/ESPN
Jim Harbaugh,2011,2014,event,high,Jim Harbaugh mutual parting Dec 2014 after down 8-8 amid management feud; effectively pushed out (Michigan came after),ESPN/SI
John Fox,2011,2014,event,high,John Fox forced out/parted ways Jan 2015 by Elway after 12-4 ended in divisional loss; Chicago hired him after,ESPN/SI
Gary Kubiak,2015,2016,censor,high,"Gary Kubiak retired Jan 2017 for health reasons (migraine condition/seizures, ambulance during season); non-football",ESPN/NFL.com
Bruce Arians,2013,2017,censor,high,Bruce Arians retired Jan 2018 (Cardinals) citing family after 42-yr career; left as franchise winningest coach by choice,CBS/Yahoo
Jim Caldwell,2014,2017,event,high,"Jim Caldwell fired by Lions Jan 2018 after 9-7; GM Bob Quinn wanted a new voice, cited record vs good teams",ESPN/NFL.com
Mike Mularkey,2016,2017,event,high,Mike Mularkey fired/parted by Titans Jan 2018 days after winning a wild-card game; ownership saw different paths,CBS Sports
Jason Garrett,2010,2019,event,high,Jason Garrett fired (parted ways) by Cowboys Jan 2020 after 8-8 missed playoffs; replaced by McCarthy,NFL.com
Brian Flores,2019,2021,event,high,Brian Flores fired by Dolphins Jan 2022 after 9-8 despite back-to-back winning seasons; Flores then sued NFL,NFL.com/CNN
Bruce Arians,2019,2021,censor,high,"Bruce Arians voluntarily stepped down March 2022 (Bucs) while successful (SB winner), hand-picked successor Bowles, moved to front office",NFL.com/ESPN
Jon Gruden,2018,2021,event,high,Jon Gruden forced resignation from Raiders Oct 2021 mid-season amid email scandal; not voluntary-while-viable,CNN/SI
Jon Gruden,2020,2021,event,high,Duplicate of rid 75 (Jon Gruden Oct 2021 forced resignation amid email scandal); spurious 2020 hire row in data,CNN/SI
Sean Payton,2006,2021,censor,high,"Sean Payton voluntarily retired/stepped away Jan 2022 (Saints) after 9-8, wanting time off; team would have kept him (un-retired 2023)",NFL.com/PFF
Pete Carroll,2010,2023,event,medium,Pete Carroll out as Seahawks coach Jan 2024 after 9-8; he wanted to return but ownership forced him into an advisor role,ESPN/Seattle Times
